RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
101,86125617,Perez,650,Spain,Female,32,7,136116.02,3,0,0,21692.84,0
102,52235350,Wilson,654,Germany,Female,39,3,97890.26,1,1,0,119591.72,0
103,38538251,Ward,573,France,Female,85,3,22518.95,1,0,1,15354.31,1
104,97971488,Payne,753,Spain,Female,66,10,148056.77,2,1,0,183941.71,0
105,77005685,Cook,567,Spain,Female,35,9,0.0,1,1,0,141550.81,0
106,63100814,Leonard,478,Germany,Male,79,5,25540.82,1,1,0,64014.93,1
107,96282117,Wright,541,France,Male,71,5,16354.52,2,1,1,202664.05,0
108,71586053,Mcgee,790,France,Female,23,0,0.0,1,0,0,54510.32,0
109,29175900,Mack,771,France,Female,39,2,38274.43,1,1,1,106974.02,1
110,45551614,Bruce,455,Spain,Male,81,0,100592.81,2,1,1,25562.64,1
111,28740864,Lee,728,France,Male,44,8,8435.8,1,1,0,135738.81,0
112,43101783,Munoz,457,France,Male,20,10,181933.27,1,0,0,79767.83,0
113,85345555,Taylor,647,France,Male,63,1,62921.88,1,1,1,87246.08,1
114,82340307,Wyatt,532,Germany,Female,85,3,27441.95,1,0,0,45040.21,0
115,45264581,Moran,736,France,Male,59,3,16227.53,2,0,1,37167.57,0
116,88461803,Daniels,703,Spain,Male,91,8,132920.54,1,1,0,68823.76,0
117,67503414,Green,745,Spain,Female,26,4,116454.74,3,0,0,173449.03,0
118,88320463,Carrillo,621,Germany,Male,68,0,59505.58,1,1,0,123316.21,1
119,63606628,Campbell,631,France,Male,66,6,0.0,3,1,0,50483.56,0
120,58586340,Reed,504,Germany,Male,91,1,1695.27,1,0,0,26766.4,1
121,39436733,Shea,550,Germany,Male,57,7,91499.23,2,1,0,211796.83,0
122,28566572,Bautista,742,Germany,Male,79,9,0.0,2,0,0,40976.18,1
123,78387461,Underwood,685,France,Male,28,0,41153.4,1,1,0,164496.48,0
124,76238574,Todd,660,France,Male,21,10,0.0,1,0,0,128183.39,1
125,22201654,Smith,772,France,Male,71,7,0.0,2,1,0,88682.08,0
126,16323852,Valdez,523,France,Male,18,0,32478.78,1,1,1,67270.44,0
127,24716857,Hays,719,France,Male,83,2,0.0,1,0,0,143644.8,0
128,30514014,Lynn,535,France,Female,19,1,5013.93,2,1,1,162356.05,0
129,94214382,Grimes,793,France,Male,69,9,30892.5,2,1,1,162867.23,0
130,31472420,Perez,702,Germany,Male,51,7,81585.85,2,1,1,163539.42,0
131,66661351,Cummings,743,France,Female,66,4,79032.25,2,1,1,13917.67,0
132,90048665,Clark,581,Spain,Male,64,5,149568.95,3,1,0,61195.19,1
133,18526544,Hall,850,Germany,Male,51,3,0.0,2,1,0,63923.87,0
134,61642594,Matthews,843,France,Female,54,4,94997.77,2,1,1,103321.43,1
135,61220073,Tran,691,Germany,Female,55,7,27230.38,1,1,1,116229.98,0
136,89978790,Harrison,764,France,Male,68,2,198482.2,1,1,1,161079.94,0
137,72820592,Olsen,620,Spain,Female,71,8,0.0,2,1,0,98474.69,1
138,81016525,Peterson,526,France,Female,51,10,41180.72,2,1,1,144632.72,0
139,43744231,Miller,727,Spain,Male,44,10,0.0,1,1,0,79894.94,0
140,84252722,Singleton,560,France,Male,21,1,88217.96,2,1,0,217366.92,0
141,11540956,Patterson,777,France,Male,76,4,52443.41,1,1,1,63812.14,1
142,25374874,Mcmahon,751,France,Female,34,2,112823.92,2,1,1,62840.51,0
143,82070937,Butler,672,Spain,Male,50,6,169643.62,1,1,1,115311.11,0
144,45812670,Gonzales,667,Germany,Male,92,3,0.0,2,0,0,166147.82,1
145,96028436,Farrell,745,France,Male,76,4,0.0,4,0,0,56049.98,0
146,55657579,Johnson,676,France,Female,43,1,0.0,2,1,0,83393.25,0
147,24972279,Taylor,610,France,Male,53,6,105890.64,2,1,0,79542.68,0
148,49392920,Russo,503,Germany,Male,42,5,7941.32,1,1,0,41515.83,1
149,68353204,Torres,743,France,Male,64,6,79404.48,1,1,0,68810.28,0
150,31227574,Rojas,685,France,Female,29,3,62561.26,3,0,0,61203.42,0
151,70897765,Porter,850,Spain,Male,89,8,0.0,3,0,1,176045.11,1
152,10435578,Hopkins,640,Spain,Female,92,6,95491.0,2,0,0,109618.33,1
153,45351479,Gomez,679,France,Male,40,1,40498.68,4,0,0,71549.86,0
154,77187530,Perez,681,Germany,Male,35,4,175393.53,1,0,0,206823.29,0
155,33978249,Simmons,713,France,Male,58,7,113940.13,2,0,1,203707.89,0
156,78139880,Goodwin,556,Germany,Male,66,1,38166.4,1,1,0,198454.95,0
157,24282218,Farmer,642,France,Male,66,3,113205.21,2,1,1,74741.45,0
158,93926371,Vaughn,730,Germany,Female,21,9,103482.59,2,1,1,159169.0,0
159,50056581,Evans,617,Germany,Male,71,4,0.0,2,1,0,222463.88,1
160,95758349,Matthews,726,Spain,Female,22,5,182890.57,1,1,1,77837.92,0
161,78137358,Bradley,659,France,Male,43,7,193337.1,3,0,0,87939.12,0
162,91734598,Johnson,688,Spain,Female,71,3,0.0,2,1,1,75370.69,0
163,36697396,Taylor,761,France,Male,84,9,109530.57,3,0,1,112665.13,0
164,30513739,Rowland,627,France,Male,65,0,0.0,1,1,0,204189.31,0
165,60185867,Gamble,509,Germany,Male,29,5,136662.6,1,0,0,103946.12,1
166,31682744,Carroll,624,France,Female,69,6,58009.76,3,0,1,68142.04,1
167,82394227,Lloyd,569,Spain,Female,20,2,3074.94,2,0,1,94578.01,0
168,81182864,Mcintyre,443,Spain,Female,35,8,0.0,1,0,1,167567.96,0
169,10076758,Berry,639,France,Female,27,0,72266.83,1,0,0,61198.24,0
170,90388981,Myers,669,Spain,Male,91,7,86135.44,1,1,1,122163.55,0
171,53507489,James,749,France,Male,45,6,0.0,3,0,1,87195.49,0
172,75579548,Fry,539,Germany,Male,59,8,0.0,1,1,0,63027.3,0
173,12614124,Brown,658,France,Female,77,2,4113.33,1,1,1,121.75,0
174,25014631,Hughes,759,Spain,Male,90,1,51972.18,1,1,0,135205.86,0
175,58718453,Wells,594,France,Male,92,6,0.0,1,1,1,83283.54,1
176,51273847,Murphy,702,France,Female,30,10,110299.03,1,0,1,126067.68,0
177,42138745,Hayden,804,France,Male,47,8,170550.1,4,0,0,35685.0,0
178,17774584,Fowler,469,Spain,Female,48,2,164970.46,4,1,0,8314.42,1
179,42329237,Torres,676,Spain,Male,77,4,143545.45,1,1,1,30325.92,0
180,86149359,Jackson,762,Germany,Female,43,2,0.0,3,1,0,87221.92,0
181,20570592,Leonard,615,Spain,Female,35,8,65972.01,2,1,0,3517.69,1
182,21496211,Thompson,784,Spain,Female,74,5,0.0,2,1,1,108229.64,0
183,75228535,Serrano,711,Germany,Male,55,4,28221.28,1,1,1,195011.82,0
184,19289546,Morrison,821,France,Male,74,0,33997.04,2,1,0,42120.18,0
185,81498611,Johnson,706,Spain,Male,46,6,99217.3,4,1,1,59488.45,1
186,26879290,Gonzalez,829,Germany,Male,54,4,8594.78,3,1,0,90089.54,0
187,27232410,Pruitt,679,France,Female,18,0,143741.49,2,1,0,88946.61,0
188,98550256,Cruz,517,France,Male,19,2,51105.55,1,1,1,174694.62,0
189,73791320,Harris,588,Germany,Male,18,7,109514.33,1,1,1,75645.32,0
190,83793389,Carter,748,France,Male,31,8,0.0,2,1,0,83274.57,0
191,32162965,Warren,746,Spain,Female,44,5,0.0,1,1,0,79071.62,0
192,45575298,Gibson,619,France,Male,21,8,55947.27,1,0,0,127421.78,0
193,80823176,Wood,825,France,Male,30,8,154147.36,2,1,1,193778.86,0
194,91415657,Smith,615,Spain,Male,81,6,152762.72,3,1,1,100130.76,1
195,66792612,Murphy,694,France,Male,82,2,93436.09,2,1,1,187298.06,0
196,38427073,Browning,692,France,Female,39,4,108321.12,2,0,1,105394.35,0
197,82383095,Myers,520,Germany,Male,88,8,112975.36,1,0,1,27967.58,0
198,36998038,Mayo,639,Spain,Female,26,3,20132.33,2,1,1,163466.64,0
199,51837852,Anderson,850,France,Female,20,7,0.0,3,1,1,98728.05,0
200,63551839,Barnes,560,France,Female,44,9,131181.03,1,0,1,181523.51,0
201,97225156,Paul,710,Spain,Female,37,5,34832.35,3,0,0,147009.78,0
202,60119651,Price,538,Spain,Female,23,5,105203.91,1,1,1,153142.06,0
203,68800797,Berger,559,Germany,Male,81,2,0.0,2,1,1,56525.65,1
204,79467853,Clark,512,France,Male,91,5,114895.69,3,0,1,45189.4,0
205,70597444,Harrell,741,France,Female,38,0,2858.82,3,0,1,97734.85,0
206,26240908,Collins,565,France,Female,41,1,29893.34,1,1,1,22652.81,0
207,43273328,Meyers,772,France,Male,71,5,10560.52,1,1,0,38357.56,0
208,40158366,Ortega,598,Germany,Male,87,2,11226.83,3,0,1,57188.78,1
209,18593410,Moore,662,France,Male,39,3,127516.14,1,1,0,30098.44,0
210,55377076,Andrews,689,Germany,Male,69,3,39489.31,1,1,1,93823.57,0
211,12823170,Collins,493,Germany,Male,19,5,34932.94,1,1,0,101221.88,0
212,88961459,Harris,669,Germany,Male,60,7,0.0,2,1,1,69977.76,0
213,84346088,Moran,683,France,Male,92,4,54703.76,2,1,0,28838.82,1
214,40885476,Stevens,760,Spain,Female,53,9,135751.0,1,1,0,52599.97,0
215,88979095,Harris,556,Germany,Female,66,5,10938.42,2,1,0,112966.44,1
216,39557077,Ritter,570,Germany,Female,69,10,54531.63,2,0,0,85844.9,0
217,10965138,Griffin,713,France,Female,65,10,19848.22,2,1,1,105723.02,1
218,19528530,Summers,787,France,Male,69,4,109969.31,1,1,1,48942.69,1
219,94705205,Jacobs,592,Spain,Male,84,8,0.0,2,1,1,123709.86,1
220,17901903,Wright,530,France,Female,18,4,121329.61,2,0,1,144399.1,0
221,40728046,Murphy,619,France,Female,84,9,85477.12,1,0,0,25378.29,1
222,19046318,Carroll,551,France,Female,86,8,44650.02,2,0,1,73830.67,0
223,14216175,Henry,688,Germany,Female,85,3,0.0,2,0,1,5476.41,0
224,54349361,Ford,545,Spain,Female,45,3,19196.51,1,1,0,146773.76,0
225,19510312,Williams,744,France,Female,61,9,0.0,2,0,0,226708.65,0
226,79008866,Davis,670,Spain,Female,44,5,110421.28,1,1,0,151404.39,0
227,41944441,Lucas,747,France,Female,81,7,0.0,1,1,1,91531.9,0
228,47376585,Ellison,414,Germany,Male,48,7,0.0,3,1,1,108921.3,0
229,99788677,Reed,479,Germany,Male,41,1,25190.43,1,1,1,132461.76,0
230,75151231,Kirby,775,France,Male,69,2,88994.09,3,0,0,27892.36,0
231,38754377,Sparks,580,France,Male,21,9,101242.95,2,1,1,103034.95,0
232,82374753,Myers,507,France,Female,46,3,64682.23,1,1,1,98547.04,0
233,27758595,Colon,630,Spain,Male,33,9,81300.18,1,0,0,87097.66,0
234,86644106,Horn,673,Germany,Male,46,3,41051.43,1,1,0,75657.33,0
235,87337818,Perry,634,Spain,Female,51,9,0.0,2,1,0,104918.02,0
236,73440831,White,695,Spain,Male,22,6,69280.04,1,1,1,42473.15,0
237,42614537,Williamson,682,France,Female,82,1,0.0,2,0,1,56917.35,1
238,73481353,Reynolds,677,Spain,Male,49,2,108752.79,3,0,1,115592.88,0
239,64634663,Cruz,780,France,Male,44,10,45355.46,3,1,0,97358.02,0
240,35556386,Hopkins,648,France,Male,29,2,90205.35,3,0,0,100696.82,0
241,22660194,Hale,645,Spain,Male,92,2,106258.53,2,1,1,155149.08,0
242,23009833,Davis,727,Spain,Male,82,1,96385.66,1,0,0,93967.68,1
243,98447167,Hale,703,France,Male,54,6,7128.6,1,1,1,87794.61,0
244,67854710,Williams,562,Germany,Male,43,8,52185.54,1,1,1,137041.37,0
245,57553014,Mcclure,641,Germany,Male,53,10,208026.58,4,1,0,200580.1,0
246,66851760,Moore,692,Spain,Female,90,9,0.0,2,1,1,73107.65,1
247,65177213,Khan,593,Germany,Male,34,9,127740.24,1,1,0,125780.48,0
248,72682989,Medina,597,France,Male,69,9,0.0,1,0,1,85146.76,0
249,17270733,Estrada,515,France,Male,85,6,14740.63,1,1,1,45873.69,0
250,97705310,Jones,370,France,Female,74,9,65938.27,1,1,0,98521.62,1
251,96728778,Barber,613,Germany,Female,83,6,49808.76,1,1,0,134608.79,0
252,23209423,Barrera,662,Spain,Female,89,1,70749.01,3,1,0,52343.21,0
253,18135295,Kerr,543,France,Female,22,0,0.0,2,1,1,163586.47,0
254,64038913,Jenkins,783,France,Male,35,1,0.0,2,1,1,77596.53,0
255,55540424,Gill,548,France,Female,28,3,90561.66,1,1,1,74616.07,0
256,24665841,Martinez,738,Germany,Male,60,5,129140.78,1,0,1,142648.99,0
257,43374088,Wood,690,Spain,Female,48,7,130326.18,1,1,1,115253.44,0
258,35714784,Campos,850,France,Male,21,5,0.0,1,1,0,58187.13,0
259,35529407,Gordon,702,France,Male,59,4,60513.04,1,1,1,25421.87,0
260,81979055,Chan,509,Germany,Female,25,8,43760.76,2,0,1,197657.2,0
261,70211891,Ortiz,752,France,Female,48,9,83461.47,2,0,1,109959.41,0
262,28814949,Martin,814,Spain,Female,45,2,110708.75,2,0,0,206715.01,0
263,66623995,Clark,478,France,Male,85,2,70405.71,3,0,1,71995.01,1
264,34627347,Williams,711,France,Male,69,10,2650.9,4,1,0,118954.46,1
265,47385696,Johnson,733,Spain,Male,64,10,110628.99,3,1,0,29739.59,0
266,72092888,Fowler,629,France,Male,80,3,75959.25,1,1,0,42613.97,0
267,43528453,Lowe,415,France,Male,31,5,13492.56,1,1,0,75416.55,0
268,20117988,Murray,621,France,Male,37,6,24740.05,2,0,0,194852.45,0
269,69476001,Cooper,593,France,Female,74,6,0.0,3,1,0,113237.51,0
270,83863413,Ross,798,France,Male,74,9,0.0,3,1,1,161999.49,0
271,23141087,Lee,641,France,Female,19,1,110681.78,2,1,0,215606.64,0
272,16789850,Johnson,610,France,Female,34,5,68871.47,3,1,1,154244.5,1
273,97529405,King,593,France,Female,35,2,118779.23,1,0,0,151774.57,0
274,82556484,Fletcher,681,Germany,Male,18,8,10758.34,1,1,1,107569.06,0
275,11980765,Taylor,655,Germany,Male,67,6,0.0,1,0,1,182577.02,0
276,22517517,Santiago,573,France,Male,22,8,91065.71,1,1,1,120779.75,0
277,41726318,Marshall,675,France,Female,81,9,12292.7,2,1,0,164910.17,0
278,32321899,Murray,595,Germany,Male,61,8,69524.4,1,1,0,81691.5,0
279,64547971,Miller,398,Spain,Male,75,9,50408.66,2,1,1,139617.44,0
280,75181648,Sandoval,714,Spain,Female,55,8,0.0,2,1,0,124438.04,0
281,74606833,Reeves,705,France,Female,90,6,42591.24,3,1,1,81691.81,1
282,38688676,Kim,669,France,Female,38,4,29824.93,4,1,1,19814.57,0
283,63826716,Ruiz,607,France,Male,59,3,141893.98,2,1,0,118445.8,0
284,17869910,Ramirez,643,France,Female,18,3,172863.98,2,1,0,125888.82,0
285,32097220,Martin,729,Germany,Male,80,6,18567.75,2,0,1,43035.73,1
286,60864911,Roberson,588,France,Male,60,8,0.0,1,1,0,108500.17,0
287,10289289,Lawson,733,France,Female,31,4,0.0,2,1,1,117036.4,0
288,62401521,Thompson,506,France,Female,79,6,0.0,3,1,0,163379.87,1
289,45594951,Martinez,666,Germany,Male,92,4,4308.24,1,1,1,117762.05,0
290,71070189,Figueroa,652,France,Male,23,6,41420.44,1,1,1,140134.72,0
291,48285503,Jackson,747,Spain,Male,81,9,109034.26,1,1,1,91713.89,1
292,66775103,Powers,560,France,Female,73,4,0.0,1,1,0,82404.37,0
293,84593961,Smith,571,Spain,Female,44,4,0.0,2,1,0,92324.86,0
294,98834863,Nelson,514,France,Male,65,2,44497.04,3,1,0,74396.9,1
295,75319931,Alexander,595,Spain,Male,76,5,135251.41,1,0,0,86455.59,1
296,30776478,Thompson,674,Spain,Female,53,5,96353.08,1,1,0,129658.22,1
297,35487660,Klein,475,Spain,Female,67,1,115492.01,2,0,1,131115.37,1
298,49823450,Stafford,607,Spain,Male,21,10,98604.57,3,0,0,125458.16,0
299,39219319,Patel,709,Spain,Female,87,9,134455.74,1,0,0,117742.41,0
300,17849494,Ramos,640,Germany,Female,87,3,48470.16,2,0,0,175420.27,1
301,87736262,Williams,657,Spain,Male,33,10,188293.63,1,1,1,174986.76,0
302,82772208,Walters,503,France,Female,53,2,23623.09,1,1,1,108833.04,0
303,18181586,Mills,640,Germany,Female,35,4,62082.58,1,0,0,188758.05,0
304,52091325,Bates,652,Germany,Female,47,1,55960.09,1,1,0,181082.88,1
305,17672593,Keller,634,Spain,Female,38,6,87550.23,1,1,0,108793.0,1
306,16729990,Garcia,664,France,Female,82,5,61146.51,1,1,0,65168.1,0
307,88406989,Vaughn,620,France,Male,70,2,69618.07,1,0,0,79627.35,0
308,73993471,Wallace,605,Germany,Male,81,3,33934.7,3,1,0,105011.24,1
309,77491435,George,549,France,Female,77,10,0.0,4,1,1,82371.37,0
310,81286543,Williams,744,France,Male,72,7,62525.08,3,0,0,44273.1,0
311,31130263,Bennett,531,France,Male,30,1,0.0,1,1,1,41148.75,0
312,17634247,Harris,665,France,Male,80,1,12637.07,1,1,0,75905.57,1
313,78159587,Wright,825,France,Female,76,0,45579.24,1,1,1,66805.9,1
314,20752378,Kerr,756,France,Female,27,2,10295.03,1,1,1,7958.98,0
315,34941004,Gonzalez,699,France,Female,24,8,111320.27,2,1,0,147961.37,0
316,19196777,Smith,674,France,Female,75,0,42311.06,2,0,1,159146.36,0
317,89864260,Johnson,637,France,Male,47,2,75480.1,1,1,1,133918.0,0
318,19121552,Smith,562,Germany,Male,42,0,93406.67,1,1,1,19927.02,0
319,41568532,Hoover,625,France,Female,47,7,29671.08,2,0,1,89154.21,0
320,64193837,Frazier,705,Spain,Male,83,8,74551.1,3,0,0,125863.76,1
321,26090908,Brown,687,Spain,Female,45,5,127595.48,2,1,0,171062.2,1
322,86460539,Benjamin,726,France,Male,45,9,14771.68,1,1,0,223908.15,0
323,43046464,Davis,768,France,Male,47,7,0.0,2,1,1,100690.35,1
324,87701200,Conley,634,Germany,Female,22,8,28156.98,2,1,0,108897.61,1
325,89795010,Beck,668,Spain,Male,20,3,137173.74,2,1,1,127822.36,0
326,15334035,Ramsey,465,Germany,Male,49,9,80895.34,1,0,1,66600.81,0
327,93131979,Williams,850,Spain,Male,19,6,0.0,2,1,0,56320.14,1
328,21003626,Hunt,609,Germany,Male,74,0,936.29,1,1,0,150444.9,1
329,66267415,Ochoa,713,Germany,Male,49,0,122512.13,1,0,0,138772.85,0
330,98231132,Morris,609,France,Female,55,9,130379.53,2,0,1,88550.64,0
331,88339168,Sims,607,Germany,Male,43,3,28499.04,4,1,1,10660.3,1
332,85863473,Weber,627,France,Female,75,5,85540.75,4,1,1,21843.48,0
333,80166708,Villa,529,Germany,Female,50,8,112455.99,2,1,1,95859.83,1
334,52462441,Foster,409,Spain,Male,20,8,0.0,2,1,0,97813.24,0
335,44999379,Patterson,762,France,Male,54,0,0.0,1,1,1,86013.83,0
336,37415205,Hall,702,Germany,Female,31,6,75974.59,3,1,1,151272.29,0
337,99889098,Rodriguez,561,France,Female,62,10,66349.4,1,0,1,112349.33,0
338,52169044,Morris,693,Germany,Female,60,3,70036.01,2,1,0,12659.29,1
339,42035886,Smith,729,France,Male,53,5,123572.49,2,1,0,213953.7,1
340,45650176,Valdez,582,Spain,Female,46,2,21313.84,3,0,1,43178.46,0
341,63121477,Smith,689,France,Female,62,7,133826.43,2,1,0,68726.21,0
342,27566185,Lewis,747,Spain,Female,69,1,0.0,1,1,1,43025.39,0
